{'minPoints': 6, 'filter_size': 48, 'step': 3, 'outliers': 3, 'eps': 12} 0.715789 0.635514 0.819277
{'minPoints': 8, 'filter_size': 48, 'step': 1, 'outliers': 1, 'eps': 12} 0.427617 0.275862 0.950495
{'minPoints': 8, 'filter_size': 48, 'step': 2, 'outliers': 1, 'eps': 12} 0.434004 0.280347 0.960396
{'minPoints': 8, 'filter_size': 48, 'step': 3, 'outliers': 1, 'eps': 12} 0.421053 0.269663 0.960000
{'minPoints': 8, 'filter_size': 48, 'step': 1, 'outliers': 2, 'eps': 12} 0.666667 0.526316 0.909091
{'minPoints': 8, 'filter_size': 48, 'step': 2, 'outliers': 2, 'eps': 12} 0.674603 0.534591 0.913978
{'minPoints': 8, 'filter_size': 48, 'step': 3, 'outliers': 2, 'eps': 12} 0.672131 0.535948 0.901099
{'minPoints': 8, 'filter_size': 48, 'step': 1, 'outliers': 3, 'eps': 12} 0.722892 0.681818 0.769231
{'minPoints': 8, 'filter_size': 48, 'step': 2, 'outliers': 3, 'eps': 12} 0.704403 0.666667 0.746667
{'minPoints': 8, 'filter_size': 48, 'step': 3, 'outliers': 3, 'eps': 12} 0.700000 0.658824 0.746667
{'minPoints': 10, 'filter_size': 48, 'step': 1, 'outliers': 1, 'eps': 12} 0.436893 0.283912 0.947368
{'minPoints': 10, 'filter_size': 48, 'step': 2, 'outliers': 1, 'eps': 12} 0.434146 0.280757 0.956989
{'minPoints': 10, 'filter_size': 48, 'step': 3, 'outliers': 1, 'eps': 12} 0.444988 0.289809 0.957895
{'minPoints': 10, 'filter_size': 48, 'step': 1, 'outliers': 2, 'eps': 12} 0.685185 0.556391 0.891566
{'minPoints': 10, 'filter_size': 48, 'step': 2, 'outliers': 2, 'eps': 12} 0.675926 0.548872 0.879518
{'minPoints': 10, 'filter_size': 48, 'step': 3, 'outliers': 2, 'eps': 12} 0.687783 0.558824 0.894118
{'minPoints': 10, 'filter_size': 48, 'step': 1, 'outliers': 3, 'eps': 12} 0.666667 0.661972 0.671429
{'minPoints': 10, 'filter_size': 48, 'step': 2, 'outliers': 3, 'eps': 12} 0.666667 0.661972 0.671429
{'minPoints': 10, 'filter_size': 48, 'step': 3, 'outliers': 3, 'eps': 12} 0.657343 0.652778 0.661972
{'minPoints': 12, 'filter_size': 48, 'step': 1, 'outliers': 1, 'eps': 12} 0.467005 0.307692 0.968421
{'minPoints': 12, 'filter_size': 48, 'step': 2, 'outliers': 1, 'eps': 12} 0.455243 0.298658 0.956989
{'minPoints': 12, 'filter_size': 48, 'step': 3, 'outliers': 1, 'eps': 12} 0.469388 0.309764 0.968421
{'minPoints': 12, 'filter_size': 48, 'step': 1, 'outliers': 2, 'eps': 12} 0.705314 0.584000 0.890244
{'minPoints': 12, 'filter_size': 48, 'step': 2, 'outliers': 2, 'eps': 12} 0.689320 0.572581 0.865854
{'minPoints': 12, 'filter_size': 48, 'step': 3, 'outliers': 2, 'eps': 12} 0.699029 0.585366 0.867470
{'minPoints': 12, 'filter_size': 48, 'step': 1, 'outliers': 3, 'eps': 12} 0.651163 0.700000 0.608696
{'minPoints': 12, 'filter_size': 48, 'step': 2, 'outliers': 3, 'eps': 12} 0.635659 0.683333 0.594203
{'minPoints': 12, 'filter_size': 48, 'step': 3, 'outliers': 3, 'eps': 12} 0.640625 0.694915 0.594203
{'minPoints': 14, 'filter_size': 48, 'step': 1, 'outliers': 1, 'eps': 12} 0.505208 0.340351 0.979798
{'minPoints': 14, 'filter_size': 48, 'step': 2, 'outliers': 1, 'eps': 12} 0.514745 0.349091 0.979592
{'minPoints': 14, 'filter_size': 48, 'step': 3, 'outliers': 1, 'eps': 12} 0.521277 0.355072 0.980000
{'minPoints': 14, 'filter_size': 48, 'step': 1, 'outliers': 2, 'eps': 12} 0.701031 0.596491 0.850000
{'minPoints': 14, 'filter_size': 48, 'step': 2, 'outliers': 2, 'eps': 12} 0.697917 0.598214 0.837500
{'minPoints': 14, 'filter_size': 48, 'step': 3, 'outliers': 2, 'eps': 12} 0.693878 0.581197 0.860759
{'minPoints': 14, 'filter_size': 48, 'step': 1, 'outliers': 3, 'eps': 12} 0.639344 0.735849 0.565217
{'minPoints': 14, 'filter_size': 48, 'step': 2, 'outliers': 3, 'eps': 12} 0.645161 0.740741 0.571429
{'minPoints': 14, 'filter_size': 48, 'step': 3, 'outliers': 3, 'eps': 12} 0.622951 0.703704 0.558824
{'minPoints': 16, 'filter_size': 48, 'step': 1, 'outliers': 1, 'eps': 12} 0.563380 0.395257 0.980392
{'minPoints': 16, 'filter_size': 48, 'step': 2, 'outliers': 1, 'eps': 12} 0.552941 0.383673 0.989474
{'minPoints': 16, 'filter_size': 48, 'step': 3, 'outliers': 1, 'eps': 12} 0.557185 0.387755 0.989583
{'minPoints': 16, 'filter_size': 48, 'step': 1, 'outliers': 2, 'eps': 12} 0.716763 0.645833 0.805195
{'minPoints': 16, 'filter_size': 48, 'step': 2, 'outliers': 2, 'eps': 12} 0.723164 0.646465 0.820513
{'minPoints': 16, 'filter_size': 48, 'step': 3, 'outliers': 2, 'eps': 12} 0.720000 0.636364 0.828947
{'minPoints': 16, 'filter_size': 48, 'step': 1, 'outliers': 3, 'eps': 12} 0.637168 0.765957 0.545455
{'minPoints': 16, 'filter_size': 48, 'step': 2, 'outliers': 3, 'eps': 12} 0.637168 0.765957 0.545455
